DT,Velocity X,Velocity Y,Velocity Z,Acceleration X,Acceleration Y,Acceleration Z,Angle X,Angle Y,Angle Z
0.0269268,-0.4146992,1.209257,1.427041,-0.04085201,0.03543325,-1.001311,0.4375396,0.6142737,-0.4114952
0.0229119,-0.1868554,1.589,1.11795,-0.04810401,0.03446087,-1.006922,0.4332584,0.6506807,-0.3858808
0.0249325,0.6844355,1.40063,-1.062834,-0.04146121,0.03800071,-1.002281,0.450323,0.6856019,-0.4123799
0.0279268,1.240328,3.059603,-1.708502,-0.03832005,0.04130112,-1.000749,0.4849614,0.7710468,-0.4600929
0.0289567,0.5310195,2.210346,-0.416042,-0.0377972,0.04071259,-1.003689,0.500338,0.8350511,-0.4721401
0.0249306,0.8538508,3.430977,-0.2791575,-0.03219816,0.04305628,-1.003482,0.521625,0.9205874,-0.4790997
0.0268905,1.028551,5.443603,-0.2913811,-0.03451473,0.04292386,-1.003511,0.5492833,1.066969,-0.4869351
0.0279525,0.8017132,4.002906,-0.5297515,-0.0273336,0.0427028,-1.002077,0.5716932,1.17886,-0.501743
0.0229605,0.2128876,3.886447,-0.06276419,-0.02831011,0.04122942,-1.001486,0.5765812,1.268095,-0.5031841
0.0269418,-0.1167849,4.044024,0.2547113,-0.02730425,0.04149678,-1.004291,0.5734348,1.377048,-0.4963217
0.0229404,0.6028103,4.561065,0.2604799,-0.0273696,0.03859344,-1.008357,0.5872635,1.481681,-0.4903462
0.0329084,1.628873,4.991412,0.3025261,-0.02311197,0.03212025,-1.00504,0.6408671,1.64594,-0.4803905
0.0269276,1.001794,6.723271,0.1872596,-0.02141608,0.02955112,-1.003076,0.6678429,1.826982,-0.4753481
0.0309326,0.4579203,8.333018,0.2802112,-0.01435961,0.03507946,-1.003442,0.6820076,2.084743,-0.4666804
0.0278838,-0.4622066,8.250194,1.460768,-0.009862308,0.03778284,-1.003001,0.6691195,2.31479,-0.4259487
0.0259311,-0.7506368,11.34873,1.761632,-0.005856419,0.04476496,-1.003762,0.6496547,2.609075,-0.3802676
0.0249692,0.4026887,12.81231,1.544034,0.001716687,0.04786541,-1.005855,0.6597095,2.928988,-0.3417143
0.023967,0.7567407,12.44504,1.992975,0.0002222774,0.04710591,-1.002814,0.6778463,3.227259,-0.2939487
0.025904,-0.3386367,13.28848,1.698063,0.01091426,0.04517187,-0.9984072,0.6690743,3.571484,-0.2499621
0.0319521,-1.866978,14.44052,1.65259,0.01514908,0.04450957,-1.006083,0.6094204,4.032888,-0.1971583
0.0259669,-0.7339379,10.95473,0.819957,0.02298163,0.04137942,-1.007357,0.5903623,4.317349,-0.1758666
0.0269173,0.9075022,9.449286,-0.02755181,0.02452824,0.03592937,-1.012892,0.6147898,4.571698,-0.1766082
0.0269277,1.936979,14.43693,-1.047824,0.03571522,0.03559271,-1.009694,0.6669483,4.960452,-0.2048237
0.0259292,2.243019,15.6318,0.3070699,0.04450892,0.03287458,-0.9988186,0.7251079,5.365772,-0.1968616
0.0239118,1.35276,13.88812,0.9768933,0.04377862,0.02981282,-0.9978679,0.7574549,5.697862,-0.1735024
0.0269299,0.2959349,13.05631,-0.04683258,0.05299519,0.03099744,-1.004489,0.7654244,6.049467,-0.1747635
0.0369,0.7048971,14.97494,-0.3927812,0.06247265,0.03628103,-1.003112,0.7914351,6.602042,-0.1892572
0.0259665,1.11231,12.93704,-0.4328366,0.07335988,0.03933604,-0.9960938,0.8203179,6.937972,-0.2004964
